area,state,abbr,region,lon,lat,population,obesity,smoking,inactive,diabetes,mental,alcohol,risk_index,risk_burden,severe_outcomes
QLD Region 1,Queensland,QLD,North-East,141.26,-15.33,394362,32.4,11.8,41.1,5.8,22.2,27.1,23.6,145901,7952
QLD Region 2,Queensland,QLD,North-East,151.03,-11.52,565388,31.7,11.2,39.4,6.8,19.8,25.0,22.8,181620,14490
QLD Region 3,Queensland,QLD,North-East,139.76,-22.66,461345,36.5,12.1,38.8,6.3,24.6,27.1,24.2,174094,18105
QLD Region 4,Queensland,QLD,North-East,150.82,-23.9,759137,34.6,13.2,42.9,5.5,18.8,28.9,25.0,255873,15796
QLD Region 5,Queensland,QLD,North-East,147.0,-25.35,264482,31.1,12.1,41.3,6.0,24.6,24.1,22.9,66769,3958
QLD Region 6,Queensland,QLD,North-East,142.73,-20.46,672861,34.9,14.0,41.4,6.9,19.4,26.1,24.7,266950,21413
QLD Region 7,Queensland,QLD,North-East,139.37,-19.65,543611,37.5,12.6,37.1,6.3,24.5,25.9,23.9,128151,8366
QLD Region 8,Queensland,QLD,North-East,152.36,-22.4,120021,32.2,10.4,38.8,5.4,20.4,25.2,22.4,29277,2259
QLD Region 9,Queensland,QLD,North-East,149.01,-22.61,576046,37.2,12.7,35.3,6.5,19.7,24.1,23.2,133159,12889
QLD Region 10,Queensland,QLD,North-East,143.89,-17.34,570477,31.3,13.4,40.8,6.9,18.8,27.2,23.9,174915,18334
QLD Region 11,Queensland,QLD,North-East,146.38,-15.86,886173,34.4,14.2,35.4,7.0,20.4,26.5,23.5,237625,24377
QLD Region 12,Queensland,QLD,North-East,148.09,-14.98,1347406,32.4,11.4,38.7,5.3,24.5,26.2,22.8,486997,28013
SA Region 1,South Australia,SA,Central-South,129.64,-34.41,352435,29.4,11.1,37.1,6.7,25.8,27.3,22.3,121125,8208
SA Region 2,South Australia,SA,Central-South,130.96,-29.16,299212,33.6,10.9,36.2,6.7,20.8,26.9,22.9,87393,8118
SA Region 3,South Australia,SA,Central-South,134.63,-30.95,452658,32.6,12.1,37.8,6.4,23.7,23.5,22.5,145447,13357
SA Region 4,South Australia,SA,Central-South,131.02,-30.3,355013,29.9,11.0,40.2,6.3,20.1,24.5,22.4,107337,8622
SA Region 5,South Australia,SA,Central-South,138.1,-35.83,424330,35.9,11.7,34.1,5.5,24.1,22.1,21.9,152600,11871
SA Region 6,South Australia,SA,Central-South,134.79,-27.58,275715,32.9,12.6,37.0,6.4,20.6,27.5,23.3,89193,6533
SA Region 7,South Australia,SA,Central-South,134.49,-28.35,145776,35.7,13.4,36.0,6.4,23.5,26.5,23.6,34769,2681
WA Region 1,Western Australia,WA,West,120.57,-28.81,350819,31.1,12.4,38.8,5.4,18.2,29.0,23.3,121996,7932
WA Region 2,Western Australia,WA,West,119.41,-20.08,1243200,31.4,10.3,33.5,5.7,23.9,28.9,22.0,332723,26308
WA Region 3,Western Australia,WA,West,120.85,-22.44,267316,34.5,9.8,39.6,5.7,18.9,24.5,22.8,84028,4790
WA Region 4,Western Australia,WA,West,114.33,-27.32,632524,33.4,12.3,32.8,5.0,22.9,26.5,22.0,215490,11079
WA Region 5,Western Australia,WA,West,113.99,-18.42,348299,31.1,10.7,38.9,6.1,21.7,25.9,22.5,104524,6470
WA Region 6,Western Australia,WA,West,127.24,-32.15,275408,35.3,9.2,33.6,4.7,23.4,28.5,22.3,64566,3244
WA Region 7,Western Australia,WA,West,118.77,-16.45,772838,33.7,10.8,35.0,4.9,21.8,25.3,21.9,216893,12386
WA Region 8,Western Australia,WA,West,117.35,-31.42,452787,34.1,8.7,38.0,6.0,22.5,27.5,22.9,153248,15330
TAS Region 1,Tasmania,TAS,Island,144.98,-41.18,84740,33.3,12.8,37.2,6.5,26.6,27.2,23.4,19565,1848
TAS Region 2,Tasmania,TAS,Island,147.61,-43.05,161144,36.3,15.3,38.9,7.2,22.5,23.5,24.2,44682,2758
TAS Region 3,Tasmania,TAS,Island,147.69,-41.3,128237,35.7,14.5,41.6,6.1,26.0,23.8,24.3,32390,2765
TAS Region 4,Tasmania,TAS,Island,147.2,-41.53,241920,34.4,13.5,40.6,6.9,23.4,23.3,23.7,64744,4207
TAS Region 5,Tasmania,TAS,Island,146.04,-42.19,121267,38.3,13.0,41.2,6.0,27.6,25.6,24.8,39484,2500
NT Region 1,Northern Territory,NT,North,130.31,-21.64,37213,34.3,15.5,36.2,6.5,21.6,27.6,24.0,10044,1005
NT Region 2,Northern Territory,NT,North,129.68,-25.0,30000,38.8,13.8,35.9,7.8,19.6,29.1,25.1,7833,557
NT Region 3,Northern Territory,NT,North,130.85,-14.99,90999,32.5,16.9,38.7,7.0,18.6,32.5,25.5,30999,3286
NT Region 4,Northern Territory,NT,North,129.77,-19.74,47610,32.3,14.0,32.7,6.8,22.1,29.6,23.1,11471,765
NT Region 5,Northern Territory,NT,North,132.33,-17.55,46341,35.6,14.3,31.0,7.2,17.3,28.3,23.3,15076,1301
ACT Region 1,Australian Capital Territory,ACT,Capital,148.96,-35.52,195720,30.2,7.7,30.2,4.9,21.7,21.8,19.0,38596,2282
ACT Region 2,Australian Capital Territory,ACT,Capital,149.28,-35.68,192895,27.0,7.6,34.9,4.9,24.0,23.0,19.5,59640,4663
ACT Region 3,Australian Capital Territory,ACT,Capital,148.86,-35.71,105274,25.8,6.6,35.1,3.9,24.8,22.6,18.8,26505,1509
