date,year,area,state,abbr,lon,lat,risk_events,severity
2011-04-01,2011,QLD Region 4,Queensland,QLD,150.82,-23.9,275,4.9
2011-04-01,2011,NSW Region 4,New South Wales,NSW,143.72,-37.13,110,4.0
2011-04-01,2011,VIC Region 12,Victoria,VIC,143.6,-38.57,323,3.6
2011-04-01,2011,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,40,3.7
2011-04-01,2011,SA Region 4,South Australia,SA,131.02,-30.3,74,4.3
2011-07-01,2011,NSW Region 6,New South Wales,NSW,144.12,-32.31,47,3.8
2011-07-01,2011,QLD Region 11,Queensland,QLD,146.38,-15.86,264,4.4
2011-07-01,2011,QLD Region 4,Queensland,QLD,150.82,-23.9,152,4.4
2011-07-01,2011,QLD Region 6,Queensland,QLD,142.73,-20.46,257,4.9
2011-07-01,2011,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,30,4.2
2011-07-01,2011,NT Region 1,Northern Territory,NT,130.31,-21.64,6,4.2
2011-07-01,2011,NSW Region 11,New South Wales,NSW,149.58,-36.68,81,4.3
2011-07-01,2011,TAS Region 2,Tasmania,TAS,147.61,-43.05,36,4.1
2011-07-01,2011,QLD Region 1,Queensland,QLD,141.26,-15.33,130,4.1
2011-07-01,2011,QLD Region 8,Queensland,QLD,152.36,-22.4,32,4.7
2011-07-01,2011,NT Region 2,Northern Territory,NT,129.68,-25.0,7,4.7
2011-07-01,2011,NT Region 3,Northern Territory,NT,130.85,-14.99,19,4.2
2011-07-01,2011,WA Region 1,Western Australia,WA,120.57,-28.81,101,4.2
2011-07-01,2011,WA Region 6,Western Australia,WA,127.24,-32.15,63,4.7
2011-07-01,2011,WA Region 4,Western Australia,WA,114.33,-27.32,184,4.4
2011-07-01,2011,QLD Region 3,Queensland,QLD,139.76,-22.66,200,4.2
2011-07-01,2011,NSW Region 7,New South Wales,NSW,146.09,-29.31,51,4.0
2011-07-01,2011,VIC Region 11,Victoria,VIC,142.81,-37.16,192,4.1
2011-07-01,2011,TAS Region 3,Tasmania,TAS,147.69,-41.3,32,5.0
2011-07-01,2011,SA Region 2,South Australia,SA,130.96,-29.16,57,4.4
2011-10-01,2011,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,33,4.0
2011-10-01,2011,SA Region 7,South Australia,SA,134.49,-28.35,29,4.6
2011-10-01,2011,NT Region 2,Northern Territory,NT,129.68,-25.0,8,4.1
2011-10-01,2011,QLD Region 11,Queensland,QLD,146.38,-15.86,203,4.2
2011-10-01,2011,QLD Region 6,Queensland,QLD,142.73,-20.46,167,4.1
2011-10-01,2011,QLD Region 10,Queensland,QLD,143.89,-17.34,177,4.0
2011-10-01,2011,VIC Region 9,Victoria,VIC,145.34,-36.4,107,3.7
2011-10-01,2011,WA Region 5,Western Australia,WA,113.99,-18.42,71,4.2
2011-10-01,2011,SA Region 6,South Australia,SA,134.79,-27.58,89,4.6
2011-10-01,2011,QLD Region 7,Queensland,QLD,139.37,-19.65,106,4.4
2011-10-01,2011,NSW Region 12,New South Wales,NSW,142.48,-36.81,168,3.9
2011-10-01,2011,WA Region 8,Western Australia,WA,117.35,-31.42,126,4.3
2011-10-01,2011,VIC Region 7,Victoria,VIC,146.57,-37.29,63,4.1
2011-10-01,2011,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,23,4.0
2011-10-01,2011,TAS Region 2,Tasmania,TAS,147.61,-43.05,29,4.8
2011-10-01,2011,VIC Region 10,Victoria,VIC,141.57,-38.55,37,3.9
2011-10-01,2011,QLD Region 12,Queensland,QLD,148.09,-14.98,292,4.6
2011-10-01,2011,NSW Region 2,New South Wales,NSW,145.87,-31.23,243,4.7
2011-10-01,2011,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,68,3.6
2011-10-01,2011,NSW Region 13,New South Wales,NSW,145.92,-35.82,163,4.2
2012-01-01,2012,TAS Region 5,Tasmania,TAS,146.04,-42.19,34,5.0
2012-01-01,2012,TAS Region 1,Tasmania,TAS,144.98,-41.18,14,4.6
2012-01-01,2012,NSW Region 7,New South Wales,NSW,146.09,-29.31,74,4.2
2012-01-01,2012,NSW Region 11,New South Wales,NSW,149.58,-36.68,71,4.6
2012-01-01,2012,NT Region 2,Northern Territory,NT,129.68,-25.0,5,4.7
2012-01-01,2012,WA Region 5,Western Australia,WA,113.99,-18.42,82,3.9
2012-01-01,2012,NSW Region 4,New South Wales,NSW,143.72,-37.13,103,4.5
2012-01-01,2012,VIC Region 2,Victoria,VIC,147.17,-37.78,47,4.0
2012-01-01,2012,QLD Region 5,Queensland,QLD,147.0,-25.35,76,3.8
2012-01-01,2012,VIC Region 8,Victoria,VIC,146.7,-37.99,137,4.4
2012-01-01,2012,WA Region 7,Western Australia,WA,118.77,-16.45,252,4.0
2012-01-01,2012,NSW Region 14,New South Wales,NSW,152.12,-36.68,88,4.4
2012-01-01,2012,TAS Region 2,Tasmania,TAS,147.61,-43.05,38,4.0
2012-01-01,2012,QLD Region 8,Queensland,QLD,152.36,-22.4,19,4.6
2012-01-01,2012,VIC Region 5,Victoria,VIC,141.4,-38.69,125,4.3
2012-01-01,2012,QLD Region 12,Queensland,QLD,148.09,-14.98,511,4.1
2012-01-01,2012,SA Region 4,South Australia,SA,131.02,-30.3,88,4.2
2012-01-01,2012,NSW Region 13,New South Wales,NSW,145.92,-35.82,149,3.9
2012-01-01,2012,NSW Region 6,New South Wales,NSW,144.12,-32.31,49,3.8
2012-01-01,2012,NSW Region 5,New South Wales,NSW,148.2,-35.82,50,4.2
2012-04-01,2012,NT Region 2,Northern Territory,NT,129.68,-25.0,8,4.6
2012-04-01,2012,QLD Region 4,Queensland,QLD,150.82,-23.9,252,5.1
2012-04-01,2012,NSW Region 8,New South Wales,NSW,142.53,-30.93,127,4.4
2012-04-01,2012,NSW Region 9,New South Wales,NSW,151.53,-34.25,280,4.2
2012-04-01,2012,SA Region 1,South Australia,SA,129.64,-34.41,110,4.5
2012-04-01,2012,NSW Region 6,New South Wales,NSW,144.12,-32.31,65,4.0
2012-04-01,2012,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,16,3.5
2012-04-01,2012,QLD Region 10,Queensland,QLD,143.89,-17.34,153,4.1
2012-04-01,2012,NSW Region 3,New South Wales,NSW,143.67,-30.11,87,4.0
2012-04-01,2012,WA Region 7,Western Australia,WA,118.77,-16.45,203,3.8
2012-04-01,2012,TAS Region 3,Tasmania,TAS,147.69,-41.3,19,4.0
2012-04-01,2012,NSW Region 12,New South Wales,NSW,142.48,-36.81,149,4.2
2012-04-01,2012,QLD Region 1,Queensland,QLD,141.26,-15.33,142,4.0
2012-04-01,2012,TAS Region 4,Tasmania,TAS,147.2,-41.53,49,3.9
2012-04-01,2012,VIC Region 3,Victoria,VIC,144.14,-36.65,68,4.4
2012-04-01,2012,VIC Region 9,Victoria,VIC,145.34,-36.4,68,4.5
2012-04-01,2012,QLD Region 6,Queensland,QLD,142.73,-20.46,290,4.7
2012-04-01,2012,VIC Region 6,Victoria,VIC,148.91,-36.24,121,4.0
2012-04-01,2012,QLD Region 11,Queensland,QLD,146.38,-15.86,246,4.6
2012-04-01,2012,VIC Region 12,Victoria,VIC,143.6,-38.57,432,3.7
2012-07-01,2012,WA Region 2,Western Australia,WA,119.41,-20.08,207,4.4
2012-07-01,2012,VIC Region 9,Victoria,VIC,145.34,-36.4,111,4.5
2012-07-01,2012,SA Region 7,South Australia,SA,134.49,-28.35,30,4.9
2012-07-01,2012,QLD Region 8,Queensland,QLD,152.36,-22.4,31,4.0
2012-07-01,2012,SA Region 6,South Australia,SA,134.79,-27.58,70,3.9
2012-07-01,2012,NSW Region 12,New South Wales,NSW,142.48,-36.81,157,4.5
2012-07-01,2012,SA Region 3,South Australia,SA,134.63,-30.95,132,4.3
2012-07-01,2012,TAS Region 1,Tasmania,TAS,144.98,-41.18,21,4.8
2012-07-01,2012,NSW Region 14,New South Wales,NSW,152.12,-36.68,87,3.7
2012-07-01,2012,QLD Region 7,Queensland,QLD,139.37,-19.65,83,4.9
2012-07-01,2012,VIC Region 3,Victoria,VIC,144.14,-36.65,47,4.5
2012-07-01,2012,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,36,3.3
2012-07-01,2012,VIC Region 11,Victoria,VIC,142.81,-37.16,161,3.8
2012-07-01,2012,NSW Region 5,New South Wales,NSW,148.2,-35.82,49,3.9
2012-07-01,2012,NSW Region 1,New South Wales,NSW,141.79,-34.17,105,3.5
2012-07-01,2012,QLD Region 11,Queensland,QLD,146.38,-15.86,145,4.8
2012-07-01,2012,NSW Region 10,New South Wales,NSW,141.44,-36.71,204,4.2
2012-07-01,2012,NT Region 1,Northern Territory,NT,130.31,-21.64,6,4.4
2012-07-01,2012,NSW Region 6,New South Wales,NSW,144.12,-32.31,63,4.5
2012-07-01,2012,NSW Region 11,New South Wales,NSW,149.58,-36.68,59,4.6
2012-10-01,2012,NT Region 5,Northern Territory,NT,132.33,-17.55,13,4.5
2012-10-01,2012,SA Region 1,South Australia,SA,129.64,-34.41,118,4.7
2012-10-01,2012,WA Region 8,Western Australia,WA,117.35,-31.42,147,4.6
2012-10-01,2012,NSW Region 9,New South Wales,NSW,151.53,-34.25,287,4.6
2012-10-01,2012,QLD Region 9,Queensland,QLD,149.01,-22.61,142,4.0
2012-10-01,2012,VIC Region 2,Victoria,VIC,147.17,-37.78,62,4.0
2012-10-01,2012,TAS Region 5,Tasmania,TAS,146.04,-42.19,37,4.9
2012-10-01,2012,NSW Region 14,New South Wales,NSW,152.12,-36.68,72,4.3
2012-10-01,2012,QLD Region 8,Queensland,QLD,152.36,-22.4,28,4.3
2012-10-01,2012,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,23,4.0
2012-10-01,2012,TAS Region 2,Tasmania,TAS,147.61,-43.05,37,4.5
2012-10-01,2012,SA Region 2,South Australia,SA,130.96,-29.16,93,4.6
2012-10-01,2012,NSW Region 7,New South Wales,NSW,146.09,-29.31,81,4.8
2012-10-01,2012,SA Region 4,South Australia,SA,131.02,-30.3,104,4.5
2012-10-01,2012,QLD Region 6,Queensland,QLD,142.73,-20.46,248,4.6
2012-10-01,2012,NSW Region 5,New South Wales,NSW,148.2,-35.82,65,4.4
2012-10-01,2012,WA Region 5,Western Australia,WA,113.99,-18.42,92,3.8
2012-10-01,2012,VIC Region 4,Victoria,VIC,144.48,-36.78,79,3.8
2012-10-01,2012,NT Region 4,Northern Territory,NT,129.77,-19.74,12,4.6
2012-10-01,2012,SA Region 5,South Australia,SA,138.1,-35.83,150,4.5
2013-01-01,2013,NT Region 4,Northern Territory,NT,129.77,-19.74,8,4.8
2013-01-01,2013,NSW Region 5,New South Wales,NSW,148.2,-35.82,38,4.5
2013-01-01,2013,TAS Region 3,Tasmania,TAS,147.69,-41.3,34,4.9
2013-01-01,2013,QLD Region 1,Queensland,QLD,141.26,-15.33,107,3.9
2013-01-01,2013,WA Region 4,Western Australia,WA,114.33,-27.32,222,4.2
2013-01-01,2013,WA Region 5,Western Australia,WA,113.99,-18.42,71,4.7
2013-01-01,2013,QLD Region 11,Queensland,QLD,146.38,-15.86,180,4.1
2013-01-01,2013,NSW Region 12,New South Wales,NSW,142.48,-36.81,184,4.5
2013-01-01,2013,TAS Region 4,Tasmania,TAS,147.2,-41.53,43,4.2
2013-01-01,2013,QLD Region 8,Queensland,QLD,152.36,-22.4,27,4.4
2013-01-01,2013,QLD Region 10,Queensland,QLD,143.89,-17.34,187,4.1
2013-01-01,2013,VIC Region 5,Victoria,VIC,141.4,-38.69,156,3.8
2013-01-01,2013,NT Region 1,Northern Territory,NT,130.31,-21.64,6,4.7
2013-01-01,2013,VIC Region 1,Victoria,VIC,141.67,-37.19,206,4.1
2013-01-01,2013,VIC Region 3,Victoria,VIC,144.14,-36.65,58,4.2
2013-01-01,2013,SA Region 1,South Australia,SA,129.64,-34.41,112,4.1
2013-01-01,2013,VIC Region 2,Victoria,VIC,147.17,-37.78,43,3.7
2013-01-01,2013,QLD Region 3,Queensland,QLD,139.76,-22.66,111,4.3
2013-01-01,2013,WA Region 2,Western Australia,WA,119.41,-20.08,211,4.5
2013-01-01,2013,SA Region 4,South Australia,SA,131.02,-30.3,65,4.4
2013-04-01,2013,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,17,4.3
2013-04-01,2013,VIC Region 10,Victoria,VIC,141.57,-38.55,44,4.4
2013-04-01,2013,TAS Region 1,Tasmania,TAS,144.98,-41.18,15,4.7
2013-04-01,2013,SA Region 5,South Australia,SA,138.1,-35.83,133,3.8
2013-04-01,2013,VIC Region 12,Victoria,VIC,143.6,-38.57,324,3.6
2013-04-01,2013,QLD Region 2,Queensland,QLD,151.03,-11.52,111,4.3
2013-04-01,2013,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,66,4.1
2013-04-01,2013,NSW Region 14,New South Wales,NSW,152.12,-36.68,132,3.9
2013-04-01,2013,SA Region 2,South Australia,SA,130.96,-29.16,63,4.8
2013-04-01,2013,NT Region 5,Northern Territory,NT,132.33,-17.55,17,4.6
2013-04-01,2013,NSW Region 8,New South Wales,NSW,142.53,-30.93,119,4.2
2013-04-01,2013,NT Region 4,Northern Territory,NT,129.77,-19.74,11,4.4
2013-04-01,2013,VIC Region 1,Victoria,VIC,141.67,-37.19,244,4.2
2013-04-01,2013,TAS Region 3,Tasmania,TAS,147.69,-41.3,26,4.4
2013-04-01,2013,NSW Region 5,New South Wales,NSW,148.2,-35.82,49,4.0
2013-04-01,2013,SA Region 3,South Australia,SA,134.63,-30.95,139,3.9
2013-04-01,2013,NT Region 1,Northern Territory,NT,130.31,-21.64,9,4.1
2013-04-01,2013,NSW Region 12,New South Wales,NSW,142.48,-36.81,178,4.2
2013-04-01,2013,QLD Region 10,Queensland,QLD,143.89,-17.34,131,4.2
2013-04-01,2013,NSW Region 6,New South Wales,NSW,144.12,-32.31,44,3.6
2013-07-01,2013,WA Region 1,Western Australia,WA,120.57,-28.81,100,3.9
2013-07-01,2013,QLD Region 6,Queensland,QLD,142.73,-20.46,162,4.7
2013-07-01,2013,QLD Region 10,Queensland,QLD,143.89,-17.34,179,4.6
2013-07-01,2013,SA Region 1,South Australia,SA,129.64,-34.41,112,3.7
2013-07-01,2013,VIC Region 11,Victoria,VIC,142.81,-37.16,154,3.8
2013-07-01,2013,QLD Region 11,Queensland,QLD,146.38,-15.86,240,4.6
2013-07-01,2013,NSW Region 12,New South Wales,NSW,142.48,-36.81,145,4.2
2013-07-01,2013,WA Region 5,Western Australia,WA,113.99,-18.42,62,4.2
2013-07-01,2013,QLD Region 9,Queensland,QLD,149.01,-22.61,80,4.8
2013-07-01,2013,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,24,4.1
2013-07-01,2013,NSW Region 11,New South Wales,NSW,149.58,-36.68,75,4.3
2013-07-01,2013,NSW Region 7,New South Wales,NSW,146.09,-29.31,60,4.3
2013-07-01,2013,NSW Region 6,New South Wales,NSW,144.12,-32.31,49,3.9
2013-07-01,2013,NSW Region 5,New South Wales,NSW,148.2,-35.82,63,3.8
2013-07-01,2013,NSW Region 1,New South Wales,NSW,141.79,-34.17,102,4.1
2013-07-01,2013,VIC Region 5,Victoria,VIC,141.4,-38.69,88,4.4
2013-07-01,2013,NT Region 5,Northern Territory,NT,132.33,-17.55,13,4.0
2013-07-01,2013,NSW Region 13,New South Wales,NSW,145.92,-35.82,192,4.2
2013-07-01,2013,TAS Region 2,Tasmania,TAS,147.61,-43.05,29,4.5
2013-07-01,2013,QLD Region 2,Queensland,QLD,151.03,-11.52,193,4.1
2013-10-01,2013,SA Region 2,South Australia,SA,130.96,-29.16,73,4.4
2013-10-01,2013,NSW Region 9,New South Wales,NSW,151.53,-34.25,245,4.3
2013-10-01,2013,NT Region 3,Northern Territory,NT,130.85,-14.99,29,4.6
2013-10-01,2013,QLD Region 4,Queensland,QLD,150.82,-23.9,227,4.2
2013-10-01,2013,NSW Region 4,New South Wales,NSW,143.72,-37.13,107,3.8
2013-10-01,2013,VIC Region 12,Victoria,VIC,143.6,-38.57,397,3.6
2013-10-01,2013,WA Region 5,Western Australia,WA,113.99,-18.42,116,3.8
2013-10-01,2013,QLD Region 1,Queensland,QLD,141.26,-15.33,159,4.4
2013-10-01,2013,NT Region 1,Northern Territory,NT,130.31,-21.64,9,4.0
2013-10-01,2013,TAS Region 4,Tasmania,TAS,147.2,-41.53,38,4.6
2013-10-01,2013,NT Region 5,Northern Territory,NT,132.33,-17.55,15,4.7
2013-10-01,2013,NSW Region 11,New South Wales,NSW,149.58,-36.68,73,4.6
2013-10-01,2013,QLD Region 7,Queensland,QLD,139.37,-19.65,140,4.8
2013-10-01,2013,QLD Region 11,Queensland,QLD,146.38,-15.86,143,4.5
2013-10-01,2013,WA Region 2,Western Australia,WA,119.41,-20.08,258,4.1
2013-10-01,2013,WA Region 8,Western Australia,WA,117.35,-31.42,152,4.7
2013-10-01,2013,VIC Region 10,Victoria,VIC,141.57,-38.55,34,3.6
2013-10-01,2013,WA Region 7,Western Australia,WA,118.77,-16.45,127,4.0
2013-10-01,2013,WA Region 3,Western Australia,WA,120.85,-22.44,65,4.1
2013-10-01,2013,NSW Region 6,New South Wales,NSW,144.12,-32.31,68,3.7
2014-01-01,2014,SA Region 4,South Australia,SA,131.02,-30.3,81,3.8
2014-01-01,2014,VIC Region 3,Victoria,VIC,144.14,-36.65,44,4.3
2014-01-01,2014,TAS Region 4,Tasmania,TAS,147.2,-41.53,67,4.7
2014-01-01,2014,QLD Region 4,Queensland,QLD,150.82,-23.9,152,4.7
2014-01-01,2014,QLD Region 9,Queensland,QLD,149.01,-22.61,85,4.0
2014-01-01,2014,NT Region 4,Northern Territory,NT,129.77,-19.74,10,4.4
2014-01-01,2014,WA Region 1,Western Australia,WA,120.57,-28.81,131,4.4
2014-01-01,2014,NSW Region 11,New South Wales,NSW,149.58,-36.68,90,4.5
2014-01-01,2014,WA Region 6,Western Australia,WA,127.24,-32.15,65,3.8
2014-01-01,2014,VIC Region 11,Victoria,VIC,142.81,-37.16,164,3.6
2014-01-01,2014,QLD Region 3,Queensland,QLD,139.76,-22.66,134,4.8
2014-01-01,2014,TAS Region 3,Tasmania,TAS,147.69,-41.3,25,4.9
2014-01-01,2014,NSW Region 14,New South Wales,NSW,152.12,-36.68,119,4.2
2014-01-01,2014,TAS Region 5,Tasmania,TAS,146.04,-42.19,29,4.4
2014-01-01,2014,NSW Region 6,New South Wales,NSW,144.12,-32.31,67,4.3
2014-01-01,2014,NT Region 2,Northern Territory,NT,129.68,-25.0,6,4.4
2014-01-01,2014,VIC Region 9,Victoria,VIC,145.34,-36.4,95,4.1
2014-01-01,2014,NSW Region 12,New South Wales,NSW,142.48,-36.81,106,4.2
2014-01-01,2014,QLD Region 8,Queensland,QLD,152.36,-22.4,33,4.6
2014-01-01,2014,WA Region 2,Western Australia,WA,119.41,-20.08,280,4.4
2014-04-01,2014,VIC Region 5,Victoria,VIC,141.4,-38.69,123,4.0
2014-04-01,2014,TAS Region 4,Tasmania,TAS,147.2,-41.53,60,4.0
2014-04-01,2014,NSW Region 2,New South Wales,NSW,145.87,-31.23,274,4.6
2014-04-01,2014,NT Region 4,Northern Territory,NT,129.77,-19.74,9,4.3
2014-04-01,2014,QLD Region 10,Queensland,QLD,143.89,-17.34,121,4.4
2014-04-01,2014,WA Region 3,Western Australia,WA,120.85,-22.44,56,4.0
2014-04-01,2014,VIC Region 1,Victoria,VIC,141.67,-37.19,178,4.6
2014-04-01,2014,NSW Region 6,New South Wales,NSW,144.12,-32.31,61,3.8
2014-04-01,2014,SA Region 4,South Australia,SA,131.02,-30.3,97,4.4
2014-04-01,2014,SA Region 1,South Australia,SA,129.64,-34.41,97,4.7
2014-04-01,2014,VIC Region 6,Victoria,VIC,148.91,-36.24,230,3.9
2014-04-01,2014,NT Region 2,Northern Territory,NT,129.68,-25.0,7,5.1
2014-04-01,2014,VIC Region 11,Victoria,VIC,142.81,-37.16,208,4.4
2014-04-01,2014,WA Region 1,Western Australia,WA,120.57,-28.81,95,4.8
2014-04-01,2014,WA Region 5,Western Australia,WA,113.99,-18.42,103,4.0
2014-04-01,2014,SA Region 7,South Australia,SA,134.49,-28.35,31,4.4
2014-04-01,2014,QLD Region 12,Queensland,QLD,148.09,-14.98,461,4.6
2014-04-01,2014,QLD Region 5,Queensland,QLD,147.0,-25.35,42,4.6
2014-04-01,2014,WA Region 7,Western Australia,WA,118.77,-16.45,247,3.8
2014-04-01,2014,VIC Region 4,Victoria,VIC,144.48,-36.78,100,4.0
2014-07-01,2014,NT Region 2,Northern Territory,NT,129.68,-25.0,5,4.8
2014-07-01,2014,WA Region 4,Western Australia,WA,114.33,-27.32,125,4.7
2014-07-01,2014,QLD Region 9,Queensland,QLD,149.01,-22.61,86,4.1
2014-07-01,2014,NSW Region 12,New South Wales,NSW,142.48,-36.81,159,4.6
2014-07-01,2014,NSW Region 3,New South Wales,NSW,143.67,-30.11,56,4.0
2014-07-01,2014,VIC Region 2,Victoria,VIC,147.17,-37.78,61,4.1
2014-07-01,2014,NSW Region 13,New South Wales,NSW,145.92,-35.82,118,3.9
2014-07-01,2014,VIC Region 3,Victoria,VIC,144.14,-36.65,41,4.5
2014-07-01,2014,NT Region 4,Northern Territory,NT,129.77,-19.74,7,4.8
2014-07-01,2014,NSW Region 11,New South Wales,NSW,149.58,-36.68,76,4.5
2014-07-01,2014,NSW Region 7,New South Wales,NSW,146.09,-29.31,65,4.3
2014-07-01,2014,WA Region 2,Western Australia,WA,119.41,-20.08,302,3.9
2014-07-01,2014,NSW Region 8,New South Wales,NSW,142.53,-30.93,153,4.2
2014-07-01,2014,NSW Region 4,New South Wales,NSW,143.72,-37.13,119,4.5
2014-07-01,2014,QLD Region 12,Queensland,QLD,148.09,-14.98,558,4.2
2014-07-01,2014,QLD Region 7,Queensland,QLD,139.37,-19.65,81,4.8
2014-07-01,2014,QLD Region 10,Queensland,QLD,143.89,-17.34,133,4.2
2014-07-01,2014,NSW Region 14,New South Wales,NSW,152.12,-36.68,80,3.9
2014-07-01,2014,VIC Region 4,Victoria,VIC,144.48,-36.78,60,3.5
2014-07-01,2014,SA Region 6,South Australia,SA,134.79,-27.58,97,4.5
2014-10-01,2014,VIC Region 10,Victoria,VIC,141.57,-38.55,37,4.1
2014-10-01,2014,WA Region 8,Western Australia,WA,117.35,-31.42,116,4.1
2014-10-01,2014,NSW Region 7,New South Wales,NSW,146.09,-29.31,97,3.9
2014-10-01,2014,QLD Region 3,Queensland,QLD,139.76,-22.66,180,4.7
2014-10-01,2014,WA Region 5,Western Australia,WA,113.99,-18.42,89,3.8
2014-10-01,2014,SA Region 6,South Australia,SA,134.79,-27.58,68,4.8
2014-10-01,2014,QLD Region 10,Queensland,QLD,143.89,-17.34,201,4.1
2014-10-01,2014,VIC Region 8,Victoria,VIC,146.7,-37.99,146,4.5
2014-10-01,2014,WA Region 1,Western Australia,WA,120.57,-28.81,80,4.8
2014-10-01,2014,QLD Region 12,Queensland,QLD,148.09,-14.98,456,3.9
2014-10-01,2014,NSW Region 12,New South Wales,NSW,142.48,-36.81,133,4.4
2014-10-01,2014,VIC Region 3,Victoria,VIC,144.14,-36.65,42,3.7
2014-10-01,2014,VIC Region 11,Victoria,VIC,142.81,-37.16,199,3.8
2014-10-01,2014,NSW Region 1,New South Wales,NSW,141.79,-34.17,157,4.4
2014-10-01,2014,QLD Region 4,Queensland,QLD,150.82,-23.9,286,4.1
2014-10-01,2014,NSW Region 10,New South Wales,NSW,141.44,-36.71,190,4.1
2014-10-01,2014,SA Region 4,South Australia,SA,131.02,-30.3,90,3.8
2014-10-01,2014,SA Region 7,South Australia,SA,134.49,-28.35,30,4.0
2014-10-01,2014,NSW Region 5,New South Wales,NSW,148.2,-35.82,70,4.2
2014-10-01,2014,WA Region 2,Western Australia,WA,119.41,-20.08,254,4.3
2015-01-01,2015,VIC Region 10,Victoria,VIC,141.57,-38.55,35,3.8
2015-01-01,2015,SA Region 2,South Australia,SA,130.96,-29.16,59,4.8
2015-01-01,2015,NT Region 4,Northern Territory,NT,129.77,-19.74,10,4.6
2015-01-01,2015,TAS Region 4,Tasmania,TAS,147.2,-41.53,60,4.7
2015-01-01,2015,QLD Region 2,Queensland,QLD,151.03,-11.52,134,4.0
2015-01-01,2015,VIC Region 11,Victoria,VIC,142.81,-37.16,162,4.1
2015-01-01,2015,QLD Region 7,Queensland,QLD,139.37,-19.65,84,4.5
2015-01-01,2015,QLD Region 1,Queensland,QLD,141.26,-15.33,100,4.2
2015-01-01,2015,VIC Region 3,Victoria,VIC,144.14,-36.65,50,4.4
2015-01-01,2015,QLD Region 9,Queensland,QLD,149.01,-22.61,99,4.2
